Equipe,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Fiorentina,4,3,4,4,11,9,13,4,4,4,5,8,8,16,10,13,7,9
Livorno,9,12,20,-,20,-,-,-,20,-,-,-,-,-,-,-,-,-
Ascoli,12,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Inter,3,1,1,1,1,2,6,9,5,8,4,7,4,4,2,1,2,3
Juventus,1,-,3,3,7,7,1,1,1,1,1,1,1,1,1,3,4,2
Lazio,6,5,12,10,12,5,4,7,9,3,8,5,5,8,3,6,5,4
Parma,10,13,19,-,8,12,8,10,6,19,-,-,-,14,9,20,-,-
Reggina,14,8,15,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Siena,16,15,13,14,19,-,14,18,-,-,-,-,-,-,-,-,-,-
Udinese,13,11,7,7,14,4,3,5,14,16,17,13,13,12,13,14,12,12
Milan,2,4,5,2,3,1,2,3,8,10,7,6,6,5,6,2,1,5
Palermo,8,6,11,8,5,8,15,19,-,11,16,19,-,-,-,-,-,-
Cagliari,17,16,14,9,15,15,16,11,15,18,-,11,16,15,14,17,18,-
Chievo,7,18,-,16,16,11,11,12,16,14,9,14,14,20,-,-,-,-
Empoli,11,7,18,-,-,-,-,-,-,15,10,18,-,17,-,-,14,14
Lecce,19,-,-,20,-,17,18,-,-,-,-,-,-,-,18,-,-,16
Messina,18,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Roma,5,2,2,6,2,6,7,6,2,2,3,2,3,6,5,7,6,6
Sampdoria,15,10,6,12,4,18,-,14,12,7,15,10,9,9,15,9,15,20
Treviso,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Atalanta,-,9,10,11,18,-,9,15,11,17,12,4,7,3,4,4,8,7
Torino,-,17,16,18,-,-,-,16,7,9,13,9,10,7,16,16,10,10
Catania,-,14,17,15,13,13,12,8,18,-,-,-,-,-,-,-,-,-
Genoa,-,-,9,5,9,10,17,17,13,6,11,16,12,18,17,11,19,-
Napoli,-,-,8,13,6,3,5,2,3,5,2,3,2,2,7,5,3,1
Bologna,-,-,-,17,17,14,10,13,19,-,14,15,15,10,12,12,13,11
Bari,-,-,-,-,10,20,-,-,-,-,-,-,-,-,-,-,-,-
Cesena,-,-,-,-,-,16,20,-,-,20,-,-,-,-,-,-,-,-
Brescia,-,-,-,-,-,19,-,-,-,-,-,-,-,-,19,-,-,-
Novara,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-
Pescara,-,-,-,-,-,-,-,20,-,-,-,20,-,-,-,-,-,-
Verona,-,-,-,-,-,-,-,-,10,13,20,-,19,-,11,10,9,18
Sassuolo,-,-,-,-,-,-,-,-,17,12,6,12,11,11,8,8,11,13
Frosinone,-,-,-,-,-,-,-,-,-,-,19,-,-,19,-,-,-,-
Carpi,-,-,-,-,-,-,-,-,-,-,18,-,-,-,-,-,-,-
Crotone,-,-,-,-,-,-,-,-,-,-,-,17,18,-,-,19,-,-
Benevento,-,-,-,-,-,-,-,-,-,-,-,-,20,-,-,18,-,-
Spal,-,-,-,-,-,-,-,-,-,-,-,-,17,13,20,-,-,-
Spezia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,16,17
Salernitana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,15
Venezia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,-
Monza,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8
Cremonese,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
