,Equipe,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,class
0,Bayern Munich,1,4,1,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1
1,Duisburg,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,26
2,FC Koln,17,18,18,12,13,9,17,18,18,11,9,5,18,18,14,16,7,10,15
3,Hamburg,3,7,5,5,7,8,15,7,16,16,10,14,17,18,18,18,18,18,19
4,Hannover,11,9,8,11,15,4,7,9,10,13,18,18,13,17,18,18,18,18,17
5,Werder Bremen,2,3,2,10,3,13,9,14,12,10,14,9,11,8,16,17,18,12,12
6,Wolfsburg,15,15,4,1,8,15,8,12,5,2,8,15,16,6,7,4,11,6,5
7,Ein Frankfurt,14,14,9,13,10,17,18,5,13,9,16,11,8,7,9,5,13,8,9
8,Schalke 04,4,2,3,8,2,14,3,4,3,6,5,10,2,14,12,18,18,16,6
9,Bielefeld,13,12,15,18,18,18,18,18,18,18,18,18,18,18,18,15,17,18,21
10,Dortmund,7,10,13,6,5,1,1,2,2,7,2,3,4,2,2,3,2,2,2
11,Hertha,6,11,10,4,18,18,16,18,11,15,7,6,10,11,11,14,16,18,13
12,Kaiserslautern,16,18,18,18,18,7,18,18,18,18,18,18,18,18,18,18,18,18,27
13,Leverkusen,5,5,7,9,4,2,5,3,4,4,3,12,5,4,5,6,3,7,3
14,M'gladbach,10,18,18,15,12,16,4,8,6,3,4,8,9,5,4,8,10,11,4
15,Nurnberg,8,6,16,18,16,6,10,10,17,18,18,18,18,18,18,18,18,18,20
16,Mainz,12,16,18,18,9,5,13,13,7,12,6,16,14,12,13,12,8,9,11
17,Stuttgart,9,1,6,3,6,12,6,11,15,14,17,18,7,16,18,9,15,17,16
18,Aachen,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,28
19,Cottbus,18,13,14,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,29
20,Bochum,18,8,12,14,17,18,18,18,18,18,18,18,18,18,18,18,12,15,22
21,Karlsruhe,18,18,11,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30
22,Hansa Rostock,18,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,31
23,Hoffenheim,18,18,18,7,11,11,11,16,9,8,15,4,3,9,6,11,9,14,7
24,Freiburg,18,18,18,18,14,10,12,6,14,17,18,7,15,13,8,10,6,5,10
25,St Pauli,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,32
26,Augsburg,18,18,18,18,18,18,14,15,8,5,12,13,12,15,15,13,14,13,14
27,Greuther Furth,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,33
28,Fortuna Dusseldorf,18,18,18,18,18,18,18,17,18,18,18,18,18,10,17,18,18,18,23
29,Braunschweig,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,34
30,Paderborn,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,35
31,Darmstadt,18,18,18,18,18,18,18,18,18,18,13,18,18,18,18,18,18,18,24
32,Ingolstadt,18,18,18,18,18,18,18,18,18,18,11,17,18,18,18,18,18,18,25
33,RB Leipzig,18,18,18,18,18,18,18,18,18,18,18,2,6,3,3,2,4,3,8
34,Union Berlin,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,7,5,4,18
