,Equipe,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,class
0,Paris SG,9,15,16,5,13,4,2,1,1,1,1,2,1,1,1,2,1,1,1
1,Lille,3,10,7,4,4,1,3,6,3,7,5,12,15,2,4,1,9,5,4
2,Marseille,4,2,3,2,1,2,10,2,6,4,13,5,4,5,2,5,2,3,3
3,Nancy,12,12,4,14,12,12,11,18,18,18,18,19,18,18,18,18,18,18,23
4,Nantes,14,19,18,19,18,18,18,18,8,14,14,7,9,12,12,18,10,17,11
5,Nice,8,16,8,9,15,15,13,4,17,11,4,3,8,7,5,9,4,10,6
6,Sochaux,15,6,15,15,16,5,14,16,18,18,18,18,18,18,18,18,18,18,24
7,St Etienne,13,13,6,17,17,11,7,5,4,5,6,10,6,4,17,11,18,18,8
8,Strasbourg,19,18,19,18,18,18,18,18,18,18,18,18,17,11,11,15,6,14,16
9,Le Mans,10,11,9,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,32
10,Ajaccio,18,18,18,18,18,18,15,15,20,18,18,18,18,18,18,18,18,18,25
11,Bordeaux,2,3,2,1,6,7,5,7,7,6,10,6,7,14,13,12,19,18,10
12,Lens,5,4,18,18,11,19,18,18,18,20,18,18,18,18,18,7,8,2,17
13,Metz,20,18,20,18,18,18,18,18,18,19,18,14,20,18,15,10,20,18,26
14,Monaco,11,9,12,10,8,18,18,18,2,3,3,1,2,17,7,3,3,4,5
15,Toulouse,16,7,17,6,14,8,8,10,9,17,17,13,18,16,20,18,18,13,13
16,Troyes,17,18,18,18,18,18,18,19,18,18,20,18,19,18,18,18,15,19,33
17,Lyon,1,1,1,3,2,3,4,3,5,2,2,4,3,3,9,4,7,7,2
18,Rennes,6,5,5,7,9,6,6,13,12,9,8,8,5,10,3,6,5,6,7
19,Auxerre,7,8,14,8,3,9,20,18,18,18,18,18,18,18,18,18,18,16,34
20,Sedan,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,35
21,Lorient,18,14,10,11,7,10,17,8,10,16,15,18,18,18,18,14,16,9,14
22,Valenciennes,18,17,13,12,10,13,12,11,19,18,18,18,18,18,18,18,18,18,27
23,Caen,18,18,11,18,18,17,18,18,18,13,7,16,16,19,18,18,18,18,19
24,Le Havre,18,18,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,36
25,Grenoble,18,18,18,13,20,18,18,18,18,18,18,18,18,18,18,18,18,18,37
26,Montpellier,18,18,18,18,5,14,1,9,15,8,12,15,10,6,8,8,13,12,9
27,Boulogne,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,38
28,Arles,18,18,18,18,18,20,18,18,18,18,18,18,18,18,18,18,18,18,39
29,Brest,18,18,18,18,18,16,16,20,18,18,18,18,18,18,14,17,11,15,20
30,Dijon,18,18,18,18,18,18,19,18,18,18,18,17,11,18,16,20,18,18,28
31,Evian Thonon Gaillard,18,18,18,18,18,18,9,17,14,18,18,18,18,18,18,18,18,18,21
32,Reims,18,18,18,18,18,18,18,14,11,15,18,18,18,8,6,16,12,11,12
33,Bastia,18,18,18,18,18,18,18,12,13,12,9,20,18,18,18,18,18,18,22
34,Guingamp,18,18,18,18,18,18,18,18,16,10,16,9,12,20,18,18,18,18,18
35,Angers,18,18,18,18,18,18,18,18,18,18,11,11,14,13,10,13,14,20,15
36,Ajaccio GFCO,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,18,18,18,40
37,Amiens,18,18,18,18,18,18,18,18,18,18,18,18,13,15,19,18,18,18,29
38,Nimes,18,18,18,18,18,18,18,18,18,18,18,18,18,9,18,19,18,18,30
39,Clermont,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,8,31
