,Equipe,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,class
0,Alaves,18,18,18,18,18,18,18,18,18,18,18,9,14,10,16,15,20,18,19
1,Ath Bilbao,12,16,11,13,8,6,10,12,4,7,5,7,17,7,11,10,8,9,6
2,Valencia,3,4,10,6,3,3,3,5,8,4,12,12,4,4,9,13,9,14,7
3,Ath Madrid,10,6,5,4,9,5,5,3,1,3,3,3,2,2,3,1,3,3,3
4,Cadiz,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,11,15,17,22
5,Celta,6,18,18,18,18,18,18,17,9,8,6,13,11,16,17,8,11,13,10
6,Espanol,15,11,12,10,11,8,14,13,14,11,13,8,13,8,20,18,13,19,11
7,Mallorca,13,12,7,9,5,16,8,18,18,18,18,18,18,18,19,18,16,12,20
8,Osasuna,4,14,17,14,12,9,7,16,18,18,18,19,18,18,10,12,10,8,14
9,Sevilla,5,3,4,3,4,7,9,9,5,5,7,4,7,6,4,4,4,10,4
10,Betis,14,17,13,17,18,18,13,7,20,18,10,14,6,9,15,6,5,6,9
11,La Coruna,8,13,8,7,10,18,18,19,18,18,15,16,18,18,18,18,18,18,23
12,Real Madrid,2,1,1,2,2,2,1,2,3,2,2,1,3,3,1,2,1,2,1
13,Barcelona,1,2,3,1,1,1,2,1,2,1,1,2,1,1,2,3,2,1,2
14,Getafe,9,9,14,18,6,17,11,10,13,15,19,18,8,5,8,16,17,18,12
15,Malaga,20,18,18,8,17,11,4,6,11,9,8,11,20,18,18,18,18,18,13
16,Santander,16,10,6,11,16,12,20,18,18,18,18,18,18,18,18,18,18,18,31
17,Sociedad,17,19,18,18,18,14,12,4,6,12,9,6,12,11,7,5,6,4,5
18,Villarreal,7,5,2,5,7,4,18,18,7,6,4,5,5,14,5,7,7,5,8
19,Zaragoza,11,7,18,18,14,15,15,20,18,18,18,18,18,18,18,18,18,18,24
20,Recreativo,18,8,16,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,32
21,Gimnastic,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,33
22,Levante,18,15,20,18,18,13,6,11,10,14,20,18,15,15,12,14,19,18,15
23,Murcia,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,34
24,Almeria,18,18,9,12,13,20,18,18,16,19,18,18,18,18,18,18,18,15,25
25,Valladolid,18,18,15,16,19,18,18,14,19,18,18,18,18,17,14,19,18,16,26
26,Numancia,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,35
27,Sp Gijon,18,18,18,15,15,10,19,18,18,18,16,18,18,18,18,18,18,18,27
28,Tenerife,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,36
29,Xerez,18,18,18,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,37
30,Hercules,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,38
31,Granada,18,18,18,18,18,18,17,15,15,16,17,20,18,18,6,9,18,18,16
32,Vallecano,18,18,18,18,18,18,16,8,12,10,18,18,18,20,18,18,14,11,17
33,Elche,18,18,18,18,18,18,18,18,17,13,18,18,18,18,18,17,12,20,28
34,Eibar,18,18,18,18,18,18,18,18,18,17,14,10,10,12,13,20,18,18,18
35,Cordoba,18,18,18,18,18,18,18,18,18,20,18,18,18,18,18,18,18,18,39
36,Las Palmas,18,18,18,18,18,18,18,18,18,18,11,15,19,18,18,18,18,18,29
37,Leganes,18,18,18,18,18,18,18,18,18,18,18,17,16,13,18,18,18,18,30
38,Girona,18,18,18,18,18,18,18,18,18,18,18,18,9,18,18,18,18,7,21
39,Huesca,18,18,18,18,18,18,18,18,18,18,18,18,18,19,18,18,18,18,40
