,Equipe,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,class
0,Aston Villa,16,11,6,6,6,9,16,15,15,16,20,18,18,18,17,11,14,8,16
1,Everton,11,6,5,5,8,7,7,6,5,12,11,7,8,8,12,9,16,17,7
2,Fulham,12,16,17,7,12,8,8,12,19,18,18,18,18,19,18,18,18,10,21
3,Man City,15,14,9,10,5,3,1,2,1,2,5,3,1,1,2,1,1,1,1
4,Middlesbrough,14,12,13,19,18,18,18,18,18,18,18,19,18,18,18,18,18,18,31
5,Portsmouth,17,9,8,15,20,18,18,18,18,18,18,18,18,18,18,18,18,18,32
6,Sunderland,20,18,15,16,13,10,14,17,14,17,17,20,18,18,18,18,18,18,24
7,West Ham,9,15,10,8,17,20,18,9,13,11,7,11,13,10,16,6,7,15,8
8,Arsenal,4,3,3,4,3,4,3,4,4,3,2,5,6,5,8,8,5,2,3
9,Wigan,10,18,14,12,16,16,15,18,18,18,18,18,18,18,18,18,18,18,25
10,Birmingham,18,18,19,18,10,18,18,18,18,18,18,18,18,18,18,18,18,18,33
11,Blackburn,6,10,7,14,9,15,19,18,18,18,18,18,18,18,18,18,18,18,34
12,Charlton,13,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,35
13,Liverpool,3,4,4,2,7,6,9,7,2,6,8,4,4,2,1,3,2,5,4
14,Man United,2,1,1,1,2,1,2,1,7,4,4,6,2,6,3,2,6,4,2
15,Newcastle,7,13,12,18,18,14,5,14,10,15,18,18,11,14,13,12,11,3,10
16,Tottenham,5,5,11,9,4,5,4,5,6,5,3,2,3,4,6,7,4,7,5
17,West Brom,19,18,18,20,18,11,10,8,17,13,14,10,20,18,18,19,18,18,17
18,Bolton,8,7,16,13,14,12,18,18,18,18,18,18,18,18,18,18,18,18,36
19,Chelsea,1,2,2,3,1,2,6,3,3,1,10,1,5,3,4,4,3,12,6
20,Reading,18,8,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,37
21,Sheffield United,18,17,18,18,18,18,18,18,18,18,18,18,18,18,10,20,18,18,26
22,Watford,18,20,18,18,18,18,18,18,18,18,13,17,14,11,19,18,19,18,22
23,Derby,18,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,38
24,Hull,18,18,18,17,19,18,18,18,16,18,18,18,18,18,18,18,18,18,27
25,Stoke,18,18,18,11,11,13,13,13,9,9,9,13,18,18,18,18,18,18,13
26,Wolves,18,18,18,18,15,17,20,18,18,18,18,18,18,7,7,13,10,13,14
27,Burnley,18,18,18,18,18,18,18,18,18,19,18,16,7,15,9,17,18,18,18
28,Blackpool,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,18,39
29,QPR,18,18,18,18,18,18,17,20,18,20,18,18,18,18,18,18,18,18,40
30,Swansea,18,18,18,18,18,18,11,10,12,8,12,15,19,18,18,18,18,18,15
31,Norwich,18,18,18,18,18,18,12,11,18,18,19,18,18,18,20,18,20,18,28
32,Southampton,18,18,18,18,18,18,18,16,8,7,6,8,17,16,11,15,15,20,11
33,Crystal Palace,18,18,18,18,18,18,18,18,11,10,16,14,10,12,14,14,12,11,12
34,Cardiff,18,18,18,18,18,18,18,18,20,18,18,18,18,18,18,18,18,18,41
35,Leicester,18,18,18,18,18,18,18,18,18,14,1,12,9,9,5,5,8,19,9
36,Bournemouth,18,18,18,18,18,18,18,18,18,18,15,9,12,13,18,18,18,14,19
37,Brighton,18,18,18,18,18,18,18,18,18,18,18,18,15,17,15,16,9,6,20
38,Huddersfield,18,18,18,18,18,18,18,18,18,18,18,18,16,20,18,18,18,18,42
39,Leeds,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,10,17,18,29
40,Brentford,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,13,9,23
41,Nott'm Forest,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,30
