,Equipe,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,class
0,Fiorentina,4,3,4,4,11,9,13,4,4,4,5,8,8,16,10,13,7,9,7
1,Livorno,9,12,20,18,20,18,18,18,20,18,18,18,18,18,18,18,18,18,28
2,Ascoli,12,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,29
3,Inter,3,1,1,1,1,2,6,9,5,8,4,7,4,4,2,1,2,3,3
4,Juventus,1,18,3,3,7,7,1,1,1,1,1,1,1,1,1,3,4,2,1
5,Lazio,6,5,12,10,12,5,4,7,9,3,8,5,5,8,3,6,5,4,5
6,Parma,10,13,19,18,8,12,8,10,6,19,18,18,18,14,9,20,18,18,14
7,Reggina,14,8,15,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30
8,Siena,16,15,13,14,19,18,14,18,18,18,18,18,18,18,18,18,18,18,21
9,Udinese,13,11,7,7,14,4,3,5,14,16,17,13,13,12,13,14,12,12,10
10,Milan,2,4,5,2,3,1,2,3,8,10,7,6,6,5,6,2,1,5,6
11,Palermo,8,6,11,8,5,8,15,19,18,11,16,19,18,18,18,18,18,18,22
12,Cagliari,17,16,14,9,15,15,16,11,15,18,18,11,16,15,14,17,18,18,16
13,Chievo,7,18,18,16,16,11,11,12,16,14,9,14,14,20,18,18,18,18,17
14,Empoli,11,7,18,18,18,18,18,18,18,15,10,18,18,17,18,18,14,14,19
15,Lecce,19,18,18,20,18,17,18,18,18,18,18,18,18,18,18,18,18,16,23
16,Messina,18,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,31
17,Roma,5,2,2,6,2,6,7,6,2,2,3,2,3,6,5,7,6,6,4
18,Sampdoria,15,10,6,12,4,18,18,14,12,7,15,10,9,9,15,9,15,20,11
19,Treviso,20,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,32
20,Atalanta,18,9,10,11,18,18,9,15,11,17,12,4,7,3,4,4,8,7,8
21,Torino,18,17,16,18,18,18,18,16,7,9,13,9,10,7,16,16,10,10,9
22,Catania,18,14,17,15,13,13,12,8,18,18,18,18,18,18,18,18,18,18,20
23,Genoa,18,18,9,5,9,10,17,17,13,6,11,16,12,18,17,11,19,18,15
24,Napoli,18,18,8,13,6,3,5,2,3,5,2,3,2,2,7,5,3,1,2
25,Bologna,18,18,18,17,17,14,10,13,19,18,14,15,15,10,12,12,13,11,13
26,Bari,18,18,18,18,10,20,18,18,18,18,18,18,18,18,18,18,18,18,33
27,Cesena,18,18,18,18,18,16,20,18,18,20,18,18,18,18,18,18,18,18,34
28,Brescia,18,18,18,18,18,19,18,18,18,18,18,18,18,18,19,18,18,18,35
29,Novara,18,18,18,18,18,18,19,18,18,18,18,18,18,18,18,18,18,18,36
30,Pescara,18,18,18,18,18,18,18,20,18,18,18,20,18,18,18,18,18,18,37
31,Verona,18,18,18,18,18,18,18,18,10,13,20,18,19,18,11,10,9,18,18
32,Sassuolo,18,18,18,18,18,18,18,18,17,12,6,12,11,11,8,8,11,13,12
33,Frosinone,18,18,18,18,18,18,18,18,18,18,19,18,18,19,18,18,18,18,38
34,Carpi,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,39
35,Crotone,18,18,18,18,18,18,18,18,18,18,18,17,18,18,18,19,18,18,40
36,Benevento,18,18,18,18,18,18,18,18,18,18,18,18,20,18,18,18,18,18,41
37,Spal,18,18,18,18,18,18,18,18,18,18,18,18,17,13,20,18,18,18,24
38,Spezia,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,15,16,17,25
39,Salernitana,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,15,26
40,Venezia,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,18,42
41,Monza,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,27
42,Cremonese,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,43
