,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Augsburg,0,0,3,3,3,3,6,9,12,13,13,14,14,14,15,15,15,18,18,21,21,24,24,27,27,28,29,29,29,30,31,34,34
Bayern Munich,0,3,6,9,10,11,12,12,15,16,19,22,25,28,31,34,35,36,37,40,43,43,46,49,52,52,55,58,59,59,62,65,68
Bochum,0,0,0,0,0,0,0,1,1,4,4,7,7,7,10,13,16,16,16,19,19,19,19,19,22,25,26,26,27,27,28,28,31
Dortmund,0,3,6,6,9,12,12,15,15,16,16,19,22,25,25,25,28,31,34,37,40,43,46,49,50,53,53,56,57,60,61,64,67
Ein Frankfurt,0,0,1,2,5,8,8,11,14,14,17,20,20,23,26,27,30,31,32,35,35,38,38,39,40,40,41,41,42,42,43,43,46
FC Koln,0,3,4,5,6,9,9,10,13,13,16,16,17,17,17,17,20,21,22,23,26,26,26,27,27,27,28,31,32,35,35,38,41
Freiburg,0,3,3,6,9,12,13,14,17,18,18,21,24,27,27,30,30,31,34,34,37,40,41,42,45,46,47,47,50,53,56,56,56
Hertha,0,0,1,1,1,4,5,6,7,8,8,11,11,11,11,14,14,14,14,14,17,17,20,20,21,21,22,22,22,22,22,25,25
Hoffenheim,0,0,3,6,9,9,12,13,14,14,17,17,18,18,18,18,18,19,19,19,19,19,19,19,19,22,25,28,29,29,29,32,32
Leverkusen,0,0,0,0,3,3,4,5,5,8,8,9,9,12,15,18,21,24,24,24,27,27,28,31,34,37,40,43,44,47,48,48,49
M'gladbach,0,3,4,7,8,8,9,12,12,15,16,16,16,19,19,22,22,22,25,26,26,29,29,30,30,31,32,35,36,36,36,39,39
Mainz,0,3,4,7,7,10,10,11,11,12,15,18,18,18,18,19,20,20,23,23,26,29,32,35,36,37,40,41,42,45,45,45,45
RB Leipzig,0,1,2,2,5,5,8,8,11,12,15,16,19,22,25,28,29,32,35,36,36,39,42,42,45,45,45,48,51,51,54,57,60
Schalke 04,0,0,1,2,2,3,6,6,6,6,6,6,6,6,9,9,9,9,10,11,12,13,16,19,20,21,21,21,24,24,27,30,30
Stuttgart,0,1,2,2,3,4,5,5,5,5,8,8,11,11,14,14,15,16,16,16,16,19,19,19,20,20,20,23,24,25,28,28,29
Union Berlin,0,3,4,7,10,11,14,17,17,20,23,23,26,26,27,27,30,33,36,39,42,43,43,44,45,48,51,51,52,55,56,56,59
Werder Bremen,0,1,2,5,5,8,8,9,12,15,15,15,18,21,21,21,21,21,24,27,27,27,30,30,30,31,31,32,32,35,35,35,35
Wolfsburg,0,1,1,2,2,2,5,5,8,9,10,11,14,17,20,23,26,29,29,29,30,30,33,34,35,38,39,39,40,43,46,46,49
