,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Ajaccio,0,0,1,1,1,1,1,1,4,4,7,8,8,8,11,12,15,15,15,15,15,18,18,18,18,21,21,21,21,21,21,21,22,22,23,23
Angers,0,1,2,2,2,2,2,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10,10,10,10,10,10,11,14,14,14,14,14,14
Auxerre,0,0,1,4,7,7,7,7,7,8,8,9,9,12,13,13,13,13,13,13,13,13,14,15,18,21,22,23,23,26,29,32,33,33,34,34
Brest,0,0,1,4,4,4,5,5,5,6,6,6,9,10,10,13,13,13,14,15,18,19,20,20,20,20,23,23,24,27,28,31,32,35,35,38
Clermont,0,0,3,6,6,6,9,10,10,13,16,17,17,18,19,19,19,22,25,28,29,30,30,30,30,31,34,34,34,37,40,43,46,49,50,53
Lens,0,3,4,7,10,13,14,17,18,21,21,24,27,30,33,36,37,40,41,44,45,45,46,46,49,50,51,54,57,60,63,63,66,69,72,75
Lille,0,3,4,4,7,7,10,10,13,13,16,19,22,22,23,26,29,30,31,34,34,35,38,41,41,44,45,46,49,52,52,55,56,59,59,60
Lorient,0,3,4,7,7,10,13,16,19,22,25,26,27,27,27,28,28,31,32,32,35,35,36,36,39,39,40,43,44,44,45,45,45,48,51,52
Lyon,0,3,6,7,10,13,13,13,13,13,14,14,17,20,20,21,24,24,25,25,28,29,32,35,35,38,39,40,41,44,47,50,50,53,56,56
Marseille,0,3,4,7,10,13,16,19,20,23,23,23,23,24,27,30,33,36,39,42,43,46,46,49,52,52,55,56,59,60,61,64,67,70,70,73
Monaco,0,3,4,4,5,5,8,11,14,17,20,21,21,24,27,27,30,33,34,37,38,41,44,47,50,50,51,51,54,57,58,61,61,61,64,65
Montpellier,0,3,3,3,6,9,9,9,12,12,12,12,12,12,13,14,17,17,17,17,20,20,20,23,26,27,30,33,36,37,37,37,40,43,43,44
Nantes,0,1,2,2,5,6,6,6,7,7,7,10,11,12,12,13,14,17,18,21,22,22,25,28,28,28,28,29,30,30,31,31,32,32,32,33
Nice,0,1,2,2,2,5,5,8,8,8,11,12,13,16,19,20,21,21,24,25,28,31,34,37,38,41,42,43,44,45,45,45,45,48,51,51
Paris SG,0,3,6,9,10,13,16,19,22,25,26,29,32,35,38,41,44,44,47,47,48,51,54,54,57,60,63,66,66,66,69,72,75,75,78,81
Reims,0,0,0,1,2,5,6,6,6,7,8,9,12,13,16,17,20,21,24,25,26,29,30,33,34,37,40,43,43,46,47,47,47,47,50,50
Rennes,0,0,1,4,4,7,8,11,12,15,18,21,24,27,28,31,31,34,34,37,37,40,40,40,43,46,46,47,50,50,50,53,53,56,56,59
Strasbourg,0,0,1,2,2,3,4,5,5,5,8,8,9,10,10,11,11,11,12,15,15,15,18,18,21,22,22,23,26,26,26,29,32,32,35,38
Toulouse,0,1,4,5,5,5,5,8,8,11,12,15,16,16,16,16,16,19,22,23,26,29,29,32,32,32,32,35,35,35,38,38,41,41,42,43
Troyes,0,0,0,0,3,6,7,7,10,11,11,12,13,13,14,14,15,18,18,18,19,19,19,19,19,19,20,20,21,21,21,21,22,22,22,22
