,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
Atalanta,0,3,4,7,10,13,14,17,20,21,24,24,27,27,27,27,28,31,34,35,38,38,41,41,41,42,42,45,48,48,49,52,55,58,58,58
Bologna,0,0,1,1,2,3,6,6,6,7,7,10,13,16,16,19,19,19,22,23,26,29,29,32,35,35,36,37,40,43,44,44,45,45,46,47
Cremonese,0,0,0,0,0,1,2,2,3,3,4,4,5,6,7,7,7,7,7,8,8,8,8,9,12,12,12,13,13,16,19,19,20,21,24,24
Empoli,0,0,1,2,3,4,4,7,7,8,11,11,11,14,14,17,18,19,22,25,26,26,27,28,28,28,28,28,31,32,32,32,32,35,38,39
Fiorentina,0,3,4,5,5,6,6,9,9,9,10,10,13,16,19,19,20,23,23,23,24,24,24,25,28,31,34,37,40,41,42,42,45,46,46,49
Inter,0,3,6,6,9,9,12,12,12,15,18,21,24,24,27,30,33,34,37,37,40,43,44,47,47,50,50,50,50,51,51,54,57,60,63,66
Juventus,0,3,4,5,8,9,10,10,13,13,16,19,22,25,28,31,34,37,37,38,38,41,44,47,50,50,53,56,59,59,59,59,60,63,66,69
Lazio,0,3,4,7,8,8,11,14,17,20,21,24,24,27,30,30,30,31,34,37,38,39,39,42,45,48,49,52,55,58,61,61,61,64,64,65
Lecce,0,0,0,1,2,2,3,6,7,7,8,8,8,9,12,15,18,19,20,20,20,23,24,27,27,27,27,27,27,27,28,28,31,31,31,32
Milan,0,3,4,7,8,11,14,14,17,20,23,26,26,29,30,33,36,37,38,38,38,38,41,44,47,47,48,48,51,52,53,56,57,58,61,61
Monza,0,0,0,0,0,0,1,4,7,10,10,10,10,13,13,16,17,18,21,22,25,26,29,29,29,32,33,34,34,35,38,41,44,45,46,49
Napoli,0,3,6,7,8,11,14,17,20,23,26,29,32,35,38,41,41,44,47,50,53,56,59,62,65,65,68,71,71,74,75,78,79,80,83,83
Roma,0,3,6,7,10,10,13,13,16,19,22,22,25,25,26,27,30,31,34,37,37,40,41,44,44,47,47,47,50,53,56,56,57,58,58,59
Salernitana,0,0,1,4,5,6,7,7,7,10,10,13,16,17,17,17,17,18,18,18,21,21,21,21,24,25,26,27,28,29,30,33,34,35,35,38
Sampdoria,0,0,1,1,2,2,2,2,2,3,3,6,6,6,6,6,9,9,9,9,9,10,11,11,11,12,12,15,15,15,16,17,17,17,17,18
Sassuolo,0,0,3,4,5,6,6,9,12,12,12,15,15,15,16,16,16,16,16,17,20,23,24,24,27,30,33,36,37,37,40,40,43,43,44,44
Spezia,0,3,3,4,4,5,5,8,8,8,9,9,9,9,10,13,14,15,18,18,18,18,19,19,20,21,24,24,25,26,26,27,27,27,27,30
Torino,0,3,4,7,7,10,10,10,10,11,11,14,17,17,20,21,22,23,23,26,27,30,30,31,31,34,37,37,38,38,39,42,42,45,46,49
Udinese,0,0,1,4,7,10,13,16,19,20,21,21,22,23,24,24,25,25,25,28,29,29,30,30,31,32,35,38,38,39,39,42,42,43,46,46
Verona,0,0,1,1,2,5,5,5,5,5,5,5,5,5,5,5,6,9,9,12,13,14,17,17,17,18,19,19,19,22,23,26,27,27,30,30
