,NoteGenerale
Aachen,80.41176470588236
Augsburg,74.99507389162561
Bayern Munich,97.40277777777779
Bielefeld,70.43725490196078
Bochum,77.009900990099
Braunschweig,72.11764705882354
Cottbus,72.25490196078431
Darmstadt,66.8529411764706
Dortmund,86.92287112932604
Duisburg,77.20588235294117
Ein Frankfurt,78.22787259122592
FC Koln,73.4230407523511
Fortuna Dusseldorf,72.13725490196079
Freiburg,73.87272727272727
Greuther Furth,67.17647058823529
Hamburg,79.58861236802413
Hannover,75.63800904977376
Hansa Rostock,73.05882352941177
Hertha,73.31969666153354
Hoffenheim,81.39370078740157
Ingolstadt,76.61764705882354
Kaiserslautern,75.92156862745098
Karlsruhe,79.55882352941177
Leverkusen,85.560735428051
M'gladbach,78.33701055760558
Mainz,76.03787372519395
Nurnberg,77.32843137254902
Paderborn,77.41176470588235
RB Leipzig,84.73728813559322
Schalke 04,79.19889042640426
St Pauli,74.70588235294117
Stuttgart,80.66423569747509
Union Berlin,73.46268656716417
Werder Bremen,82.7922176096761
Wolfsburg,79.7280510018215
