,NoteGenerale
Ajaccio,66.17839173421876
Ajaccio GFCO,71.05263157894737
Amiens,64.76923076923077
Angers,72.17587868480726
Arles,65.26315789473684
Auxerre,70.61869214872551
Bastia,66.98096304591266
Bordeaux,74.91163565277922
Boulogne,64.94736842105263
Brest,71.16779152605925
Caen,72.24561403508771
Clermont,71.0
Dijon,70.651376146789
Evian Thonon Gaillard,69.76315789473684
Grenoble,69.02631578947368
Guingamp,71.50877192982456
Le Havre,72.0
Le Mans,72.32105263157894
Lens,74.44862622160036
Lille,79.4846842389867
Lorient,72.81376500857633
Lyon,83.78564698231713
Marseille,81.92789828325415
Metz,69.37622236394557
Monaco,77.15969319579993
Montpellier,76.08431838431838
Nancy,72.64400584795321
Nantes,72.33036155205632
Nice,72.16813609766751
Nimes,75.09615384615384
Paris SG,84.4981094743066
Reims,71.6450849963045
Rennes,74.9699960038173
Sedan,66.68421052631578
Sochaux,72.58552631578947
St Etienne,75.61680444248123
Strasbourg,72.85971538040504
Toulouse,71.6224716828845
Troyes,68.34724798749406
Valenciennes,72.66447368421052
