,NoteGenerale
Alaves,68.17293233082707
Almeria,74.57251908396947
Ath Bilbao,77.64411764705883
Ath Madrid,83.02352941176471
Barcelona,92.22058823529412
Betis,76.7773851590106
Cadiz,68.0
Celta,75.10612244897959
Cordoba,68.42105263157896
Eibar,75.27067669172932
Elche,68.3010752688172
Espanol,73.601246105919
Getafe,76.25856697819314
Gimnastic,70.05263157894737
Girona,73.78181818181818
Granada,72.89473684210526
Hercules,73.42105263157893
Huesca,73.10526315789473
La Coruna,75.2488038277512
Las Palmas,73.45614035087719
Leganes,71.61842105263159
Levante,72.86234817813765
Malaga,77.3397129186603
Mallorca,77.28985507246377
Murcia,72.10526315789474
Numancia,72.26315789473685
Osasuna,74.91666666666667
Real Madrid,95.9264705882353
Recreativo,74.82456140350877
Santander,73.75187969924812
Sevilla,82.90588235294118
Sociedad,76.64664310954063
Sp Gijon,73.85087719298245
Tenerife,83.10526315789473
Valencia,79.21764705882353
Valladolid,73.63905325443787
Vallecano,81.64
Villarreal,77.57943925233644
Xerez,68.52631578947367
Zaragoza,78.93984962406014
