,NoteGenerale
Arsenal,87.8418110516934
Aston Villa,75.67885120423784
Birmingham,70.30263157894737
Blackburn,76.4812030075188
Blackpool,78.0
Bolton,78.4436090225564
Bournemouth,72.35933277420557
Brentford,71.35369532428355
Brighton,76.13187301587301
Burnley,68.81871345029239
Cardiff,69.94736842105263
Charlton,68.44736842105263
Chelsea,89.99848436103663
Crystal Palace,72.59271603442006
Derby,66.73684210526315
Everton,78.25801069518715
Fulham,74.33609958506223
Huddersfield,66.0
Hull,70.39473684210526
Leeds,78.65291750503017
Leicester,75.99396310248237
Liverpool,92.30718141197498
Man City,91.5686441771444
Man United,88.33708477297816
Middlesbrough,71.30701754385964
Newcastle,76.07808569260871
Norwich,71.75438596491229
Nott'm Forest,66.21780303030303
Portsmouth,79.72631578947369
QPR,79.66666666666667
Reading,72.64912280701753
Sheffield United,68.28070175438596
Southampton,77.88877267583416
Stoke,70.25837320574163
Sunderland,72.75877192982456
Swansea,72.74342105263159
Tottenham,87.38563992869877
Watford,71.1907894736842
West Brom,73.31140350877193
West Ham,75.89216339744812
Wigan,78.28289473684211
Wolves,73.99167579408544
