,NoteGenerale
Ascoli,70.44736842105263
Atalanta,80.83185802023911
Bari,70.0
Benevento,71.78947368421052
Bologna,73.79168096054889
Brescia,72.0
Cagliari,73.18890046899426
Carpi,73.21052631578947
Catania,75.96052631578948
Cesena,71.40350877192984
Chievo,71.41503759398495
Cremonese,72.21895424836602
Crotone,67.40350877192984
Empoli,73.07988745794175
Fiorentina,84.28808179696242
Frosinone,71.18421052631578
Genoa,75.10877192982457
Inter,87.88893393134379
Juventus,87.38810060469218
Lazio,82.11989694625515
Lecce,74.31603996537625
Livorno,71.41758118701009
Messina,70.0483641536273
Milan,86.02927376229084
Monza,71.89869281045752
Napoli,88.21463073459665
Novara,75.52631578947367
Palermo,78.34877622377624
Parma,74.08302419043203
Pescara,71.36842105263159
Reggina,72.10929824561403
Roma,89.32606426475296
Salernitana,70.72447447447448
Sampdoria,75.42439194288036
Sassuolo,78.78990768884387
Siena,73.64553429027112
Spal,69.12280701754386
Spezia,70.93571428571428
Torino,76.4131932532876
Treviso,65.76900584795322
Udinese,76.95130165994719
Venezia,65.84210526315789
Verona,73.37421633554084
