,Unnamed: 0.1,Unnamed: 0,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,382,382,35.0,Sat,2023-05-06,15:00,Tottenham,,,,Crystal Palace,,Tottenham Hotspur Stadium,,Head-to-Head,
1,383,383,35.0,Sat,2023-05-06,15:00,Wolves,,,,Aston Villa,,Molineux Stadium,,Head-to-Head,
2,384,384,35.0,Sat,2023-05-06,15:00,Bournemouth,,,,Chelsea,,Vitality Stadium,,Head-to-Head,
3,385,385,35.0,Sat,2023-05-06,15:00,Man City,,,,Leeds,,Etihad Stadium,,Head-to-Head,
4,386,386,35.0,Sat,2023-05-06,17:30,Liverpool,,,,Brentford,,Anfield,,Head-to-Head,
5,387,387,35.0,Sun,2023-05-07,16:30,Newcastle,,,,Arsenal,,St James' Park,,Head-to-Head,
6,388,388,35.0,Sun,2023-05-07,19:00,West Ham,,,,Man United,,London Stadium,,Head-to-Head,
7,389,389,35.0,Mon,2023-05-08,15:00,Fulham,,,,Leicester,,Craven Cottage,,Head-to-Head,
8,390,390,35.0,Mon,2023-05-08,17:30,Brighton,,,,Everton,,The American Express Community Stadium,,Head-to-Head,
9,391,391,35.0,Mon,2023-05-08,20:00,Nott'm Forest,,,,Southampton,,The City Ground,,Head-to-Head,
10,393,393,36.0,Sat,2023-05-13,12:30,Leeds,,,,Newcastle,,Elland Road,,Head-to-Head,
11,394,394,36.0,Sat,2023-05-13,15:00,Aston Villa,,,,Tottenham,,Villa Park,,Head-to-Head,
12,395,395,36.0,Sat,2023-05-13,15:00,Chelsea,,,,Nott'm Forest,,Stamford Bridge,,Head-to-Head,
13,396,396,36.0,Sat,2023-05-13,15:00,Crystal Palace,,,,Bournemouth,,Selhurst Park,,Head-to-Head,
14,397,397,36.0,Sat,2023-05-13,15:00,Southampton,,,,Fulham,,St. Mary's Stadium,,Head-to-Head,
15,398,398,36.0,Sat,2023-05-13,15:00,Man United,,,,Wolves,,Old Trafford,,Head-to-Head,
16,399,399,36.0,Sun,2023-05-14,14:00,Everton,,,,Man City,,Goodison Park,,Head-to-Head,
17,400,400,36.0,Sun,2023-05-14,14:00,Brentford,,,,West Ham,,Brentford Community Stadium,,Head-to-Head,
18,401,401,36.0,Sun,2023-05-14,16:30,Arsenal,,,,Brighton,,Emirates Stadium,,Head-to-Head,
19,402,402,36.0,Mon,2023-05-15,20:00,Leicester,,,,Liverpool,,King Power Stadium,,Head-to-Head,
20,404,404,25.0,Thu,2023-05-18,19:30,Newcastle,,,,Brighton,,St James' Park,,Head-to-Head,
21,406,406,37.0,Sat,2023-05-20,12:30,Tottenham,,,,Brentford,,Tottenham Hotspur Stadium,,Head-to-Head,
22,407,407,37.0,Sat,2023-05-20,15:00,Liverpool,,,,Aston Villa,,Anfield,,Head-to-Head,
23,408,408,37.0,Sat,2023-05-20,15:00,Fulham,,,,Crystal Palace,,Craven Cottage,,Head-to-Head,
24,409,409,37.0,Sat,2023-05-20,15:00,Bournemouth,,,,Man United,,Vitality Stadium,,Head-to-Head,
25,410,410,37.0,Sat,2023-05-20,15:00,Wolves,,,,Everton,,Molineux Stadium,,Head-to-Head,
26,411,411,37.0,Sat,2023-05-20,17:30,Nott'm Forest,,,,Arsenal,,The City Ground,,Head-to-Head,
27,412,412,37.0,Sun,2023-05-21,13:30,West Ham,,,,Leeds,,London Stadium,,Head-to-Head,
28,413,413,37.0,Sun,2023-05-21,14:00,Brighton,,,,Southampton,,The American Express Community Stadium,,Head-to-Head,
29,414,414,37.0,Sun,2023-05-21,16:00,Man City,,,,Chelsea,,Etihad Stadium,,Head-to-Head,
30,415,415,37.0,Mon,2023-05-22,20:00,Newcastle,,,,Leicester,,St James' Park,,Head-to-Head,
31,417,417,32.0,Wed,2023-05-24,20:00,Brighton,,,,Man City,,The American Express Community Stadium,,Head-to-Head,
32,418,418,32.0,Thu,2023-05-25,20:00,Man United,,,,Chelsea,,Old Trafford,,Head-to-Head,
33,420,420,38.0,Sun,2023-05-28,16:30,Crystal Palace,,,,Nott'm Forest,,Selhurst Park,,Head-to-Head,
34,421,421,38.0,Sun,2023-05-28,16:30,Chelsea,,,,Newcastle,,Stamford Bridge,,Head-to-Head,
35,422,422,38.0,Sun,2023-05-28,16:30,Man United,,,,Fulham,,Old Trafford,,Head-to-Head,
36,423,423,38.0,Sun,2023-05-28,16:30,Arsenal,,,,Wolves,,Emirates Stadium,,Head-to-Head,
37,424,424,38.0,Sun,2023-05-28,16:30,Southampton,,,,Liverpool,,St. Mary's Stadium,,Head-to-Head,
38,425,425,38.0,Sun,2023-05-28,16:30,Everton,,,,Bournemouth,,Goodison Park,,Head-to-Head,
39,426,426,38.0,Sun,2023-05-28,16:30,Leicester,,,,West Ham,,King Power Stadium,,Head-to-Head,
40,427,427,38.0,Sun,2023-05-28,16:30,Aston Villa,,,,Brighton,,Villa Park,,Head-to-Head,
41,428,428,38.0,Sun,2023-05-28,16:30,Leeds,,,,Tottenham,,Elland Road,,Head-to-Head,
42,429,429,38.0,Sun,2023-05-28,16:30,Brentford,,,,Man City,,Brentford Community Stadium,,Head-to-Head,
