,Unnamed: 0.1,Unnamed: 0,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,300,300,31.0,Fri,2023-05-05,20:30,Leverkusen,,,,FC Koln,,BayArena,,Head-to-Head,
1,301,301,31.0,Fri,2023-05-05,20:30,Mainz,,,,Schalke 04,,Mewa Arena,,Head-to-Head,
2,302,302,31.0,Sat,2023-05-06,15:30,Hoffenheim,,,,Ein Frankfurt,,PreZero Arena,,Head-to-Head,
3,303,303,31.0,Sat,2023-05-06,15:30,Hertha,,,,Stuttgart,,Olympiastadion Berlin,,Head-to-Head,
4,304,304,31.0,Sat,2023-05-06,15:30,Freiburg,,,,RB Leipzig,,Europa-Park Stadion,,Head-to-Head,
5,305,305,31.0,Sat,2023-05-06,15:30,M'gladbach,,,,Bochum,,Stadion im Borussia-Park,,Head-to-Head,
6,306,306,31.0,Sat,2023-05-06,15:30,Augsburg,,,,Union Berlin,,WWK Arena,,Head-to-Head,
7,307,307,31.0,Sat,2023-05-06,18:30,Werder Bremen,,,,Bayern Munich,,Wohninvest-Weserstadion,,Head-to-Head,
8,308,308,31.0,Sun,2023-05-07,17:30,Dortmund,,,,Wolfsburg,,Signal Iduna Park,,Head-to-Head,
9,310,310,32.0,Fri,2023-05-12,20:30,FC Koln,,,,Hertha,,RheinEnergieSTADION,,Head-to-Head,
10,311,311,32.0,Sat,2023-05-13,15:30,Ein Frankfurt,,,,Mainz,,Deutsche Bank Park,,Head-to-Head,
11,312,312,32.0,Sat,2023-05-13,15:30,Wolfsburg,,,,Hoffenheim,,Volkswagen Arena,,Head-to-Head,
12,313,313,32.0,Sat,2023-05-13,15:30,Union Berlin,,,,Freiburg,,Stadion An der Alten Försterei,,Head-to-Head,
13,314,314,32.0,Sat,2023-05-13,15:30,Bochum,,,,Augsburg,,Vonovia Ruhrstadion,,Head-to-Head,
14,315,315,32.0,Sat,2023-05-13,15:30,Bayern Munich,,,,Schalke 04,,Allianz Arena,,Head-to-Head,
15,316,316,32.0,Sat,2023-05-13,18:30,Dortmund,,,,M'gladbach,,Signal Iduna Park,,Head-to-Head,
16,317,317,32.0,Sun,2023-05-14,15:30,Stuttgart,,,,Leverkusen,,Mercedes-Benz Arena,,Head-to-Head,
17,318,318,32.0,Sun,2023-05-14,17:30,RB Leipzig,,,,Werder Bremen,,Red Bull Arena,,Head-to-Head,
18,320,320,33.0,Fri,2023-05-19,20:30,Freiburg,,,,Wolfsburg,,Europa-Park Stadion,,Head-to-Head,
19,321,321,33.0,Sat,2023-05-20,15:30,Schalke 04,,,,Ein Frankfurt,,Veltins-Arena,,Head-to-Head,
20,322,322,33.0,Sat,2023-05-20,15:30,Werder Bremen,,,,FC Koln,,Wohninvest-Weserstadion,,Head-to-Head,
21,323,323,33.0,Sat,2023-05-20,15:30,Hertha,,,,Bochum,,Olympiastadion Berlin,,Head-to-Head,
22,324,324,33.0,Sat,2023-05-20,15:30,Hoffenheim,,,,Union Berlin,,PreZero Arena,,Head-to-Head,
23,325,325,33.0,Sat,2023-05-20,18:30,Bayern Munich,,,,RB Leipzig,,Allianz Arena,,Head-to-Head,
24,326,326,33.0,Sun,2023-05-21,15:30,Mainz,,,,Stuttgart,,Mewa Arena,,Head-to-Head,
25,327,327,33.0,Sun,2023-05-21,17:30,Augsburg,,,,Dortmund,,WWK Arena,,Head-to-Head,
26,328,328,33.0,Sun,2023-05-21,19:30,Leverkusen,,,,M'gladbach,,BayArena,,Head-to-Head,
27,330,330,34.0,Sat,2023-05-27,15:30,RB Leipzig,,,,Schalke 04,,Red Bull Arena,,Head-to-Head,
28,331,331,34.0,Sat,2023-05-27,15:30,Bochum,,,,Leverkusen,,Vonovia Ruhrstadion,,Head-to-Head,
29,332,332,34.0,Sat,2023-05-27,15:30,Union Berlin,,,,Werder Bremen,,Stadion An der Alten Försterei,,Head-to-Head,
30,333,333,34.0,Sat,2023-05-27,15:30,Ein Frankfurt,,,,Freiburg,,Deutsche Bank Park,,Head-to-Head,
31,334,334,34.0,Sat,2023-05-27,15:30,Dortmund,,,,Mainz,,Signal Iduna Park,,Head-to-Head,
32,335,335,34.0,Sat,2023-05-27,15:30,M'gladbach,,,,Augsburg,,Stadion im Borussia-Park,,Head-to-Head,
33,336,336,34.0,Sat,2023-05-27,15:30,Stuttgart,,,,Hoffenheim,,Mercedes-Benz Arena,,Head-to-Head,
34,337,337,34.0,Sat,2023-05-27,15:30,Wolfsburg,,,,Hertha,,Volkswagen Arena,,Head-to-Head,
35,338,338,34.0,Sat,2023-05-27,15:30,FC Koln,,,,Bayern Munich,,RheinEnergieSTADION,,Head-to-Head,
