,Unnamed: 0.1,Unnamed: 0,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,330,364,34.0,Fri,2023-05-12,21:00,Mallorca,,,,Cadiz,,Iberostar Estadi,,Head-to-Head,
1,331,365,34.0,Sat,2023-05-13,14:00,Sociedad,,,,Girona,,Reale Arena,,Head-to-Head,
2,332,366,34.0,Sat,2023-05-13,16:15,Osasuna,,,,Almeria,,Estadio El Sadar,,Head-to-Head,
3,333,367,34.0,Sat,2023-05-13,18:30,Villarreal,,,,Ath Bilbao,,Estadio de la Cerámica,,Head-to-Head,
4,334,368,34.0,Sat,2023-05-13,21:00,Real Madrid,,,,Getafe,,Estadio Santiago Bernabéu,,Head-to-Head,
5,335,369,34.0,Sun,2023-05-14,14:00,Celta,,,,Valencia,,Estadio de Balaídos,,Head-to-Head,
6,336,370,34.0,Sun,2023-05-14,16:15,Elche,,,,Ath Madrid,,Estadio Manuel Martínez Valero,,Head-to-Head,
7,337,371,34.0,Sun,2023-05-14,18:30,Valladolid,,,,Sevilla,,Estadio Municipal José Zorrilla,,Head-to-Head,
8,338,372,34.0,Sun,2023-05-14,21:00,Espanol,,,,Barcelona,,RCDE Stadium,,Head-to-Head,
9,339,373,34.0,Mon,2023-05-15,21:00,Betis,,,,Vallecano,,Estadio Benito Villamarín,,Head-to-Head,
10,340,375,35.0,Sun,2023-05-21,,Getafe,,,,Elche,,Coliseum Alfonso Pérez,,Head-to-Head,
11,341,376,35.0,Sun,2023-05-21,,Girona,,,,Villarreal,,Estadi Municipal de Montilivi,,Head-to-Head,
12,342,377,35.0,Sun,2023-05-21,,Valencia,,,,Real Madrid,,Estadio de Mestalla,,Head-to-Head,
13,343,378,35.0,Sun,2023-05-21,,Vallecano,,,,Espanol,,Estadio del Rayo Vallecano,,Head-to-Head,
14,344,379,35.0,Sun,2023-05-21,,Cadiz,,,,Valladolid,,Estadio Nuevo Mirandilla,,Head-to-Head,
15,345,380,35.0,Sun,2023-05-21,,Ath Madrid,,,,Osasuna,,Estadio Cívitas Metropolitano,,Head-to-Head,
16,346,381,35.0,Sun,2023-05-21,,Ath Bilbao,,,,Celta,,San Mamés,,Head-to-Head,
17,347,382,35.0,Sun,2023-05-21,,Barcelona,,,,Sociedad,,Camp Nou,,Head-to-Head,
