,Unnamed: 0.1,Unnamed: 0,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,364,364,34.0,Sat,2023-05-06,17:00,Nice,,,,Rennes,,Stade de Nice,,Head-to-Head,
1,365,365,34.0,Sat,2023-05-06,19:00,Reims,,,,Lille,,Stade Auguste-Delaune,,Head-to-Head,
2,366,366,34.0,Sat,2023-05-06,21:00,Lens,,,,Marseille,,Stade Bollaert-Delelis,,Head-to-Head,
3,367,367,34.0,Sun,2023-05-07,13:00,Angers,,,,Monaco,,Stade Raymond Kopa,,Head-to-Head,
4,368,368,34.0,Sun,2023-05-07,15:00,Ajaccio,,,,Toulouse,,Stade François Coty,,Head-to-Head,
5,369,369,34.0,Sun,2023-05-07,15:00,Lorient,,,,Brest,,Stade Yves Allainmat - Le Moustoir,,Head-to-Head,
6,370,370,34.0,Sun,2023-05-07,15:00,Nantes,,,,Strasbourg,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,
7,371,371,34.0,Sun,2023-05-07,15:00,Auxerre,,,,Clermont,,Stade de l'Abbé Deschamps,,Head-to-Head,
8,372,372,34.0,Sun,2023-05-07,17:05,Lyon,,,,Montpellier,,Groupama Stadium,,Head-to-Head,
9,373,373,34.0,Sun,2023-05-07,20:45,Troyes,,,,Paris SG,,Stade de l'Aube,,Head-to-Head,
10,375,375,35.0,Fri,2023-05-12,21:00,Lens,,,,Reims,,Stade Bollaert-Delelis,,Head-to-Head,
11,376,376,35.0,Sat,2023-05-13,17:00,Strasbourg,,,,Nice,,Stade de la Meinau,,Head-to-Head,
12,377,377,35.0,Sat,2023-05-13,21:00,Paris SG,,,,Ajaccio,,Parc des Princes,,Head-to-Head,
13,378,378,35.0,Sun,2023-05-14,13:00,Clermont,,,,Lyon,,Stade Gabriel Montpied,,Head-to-Head,
14,379,379,35.0,Sun,2023-05-14,15:00,Montpellier,,,,Lorient,,Stade de la Mosson-Mondial 98,,Head-to-Head,
15,380,380,35.0,Sun,2023-05-14,15:00,Toulouse,,,,Nantes,,Stadium Municipal,,Head-to-Head,
16,381,381,35.0,Sun,2023-05-14,15:00,Brest,,,,Auxerre,,Stade Francis-Le Blé,,Head-to-Head,
17,382,382,35.0,Sun,2023-05-14,15:00,Rennes,,,,Troyes,,Roazhon Park,,Head-to-Head,
18,383,383,35.0,Sun,2023-05-14,17:05,Monaco,,,,Lille,,Stade Louis II.,,Head-to-Head,
19,384,384,35.0,Sun,2023-05-14,20:45,Marseille,,,,Angers,,Orange Vélodrome,,Head-to-Head,
20,386,386,36.0,Fri,2023-05-19,21:00,Lyon,,,,Monaco,,Groupama Stadium,,Head-to-Head,
21,387,387,36.0,Sat,2023-05-20,17:00,Nantes,,,,Montpellier,,Stade de la Beaujoire - Louis Fonteneau,,Head-to-Head,
22,388,388,36.0,Sat,2023-05-20,21:00,Lille,,,,Marseille,,Decathlon Arena - Stade Pierre-Mauroy,,Head-to-Head,
23,389,389,36.0,Sun,2023-05-21,13:00,Ajaccio,,,,Rennes,,Stade François Coty,,Head-to-Head,
24,390,390,36.0,Sun,2023-05-21,15:00,Brest,,,,Clermont,,Stade Francis-Le Blé,,Head-to-Head,
25,391,391,36.0,Sun,2023-05-21,15:00,Reims,,,,Angers,,Stade Auguste-Delaune,,Head-to-Head,
26,392,392,36.0,Sun,2023-05-21,15:00,Nice,,,,Toulouse,,Stade de Nice,,Head-to-Head,
