,Unnamed: 0.1,Unnamed: 0,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
0,363,363,34.0,Sat,2023-05-06,15:00,Milan,,,,Lazio,,Stadio Giuseppe Meazza,,Head-to-Head,
1,364,364,34.0,Sat,2023-05-06,18:00,Roma,,,,Inter,,Stadio Olimpico,,Head-to-Head,
2,365,365,34.0,Sat,2023-05-06,20:45,Cremonese,,,,Spezia,,Stadio Giovanni Zini,,Head-to-Head,
3,366,366,34.0,Sun,2023-05-07,12:30,Atalanta,,,,Juventus,,Gewiss Stadium,,Head-to-Head,
4,367,367,34.0,Sun,2023-05-07,15:00,Torino,,,,Monza,,Stadio Olimpico di Torino,,Head-to-Head,
5,368,368,34.0,Sun,2023-05-07,18:00,Napoli,,,,Fiorentina,,Stadio Diego Armando Maradona,,Head-to-Head,
6,369,369,34.0,Sun,2023-05-07,20:45,Lecce,,,,Verona,,Stadio Comunale Via Del Mare,,Head-to-Head,
7,370,370,34.0,Mon,2023-05-08,18:30,Udinese,,,,Sampdoria,,Dacia Arena,,Head-to-Head,
8,371,371,34.0,Mon,2023-05-08,18:30,Empoli,,,,Salernitana,,Stadio Carlo Castellani,,Head-to-Head,
9,372,372,34.0,Mon,2023-05-08,20:45,Sassuolo,,,,Bologna,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
10,374,374,35.0,Fri,2023-05-12,20:45,Lazio,,,,Lecce,,Stadio Olimpico,,Head-to-Head,
11,375,375,35.0,Sat,2023-05-13,15:00,Salernitana,,,,Atalanta,,Stadio Arechi,,Head-to-Head,
12,376,376,35.0,Sat,2023-05-13,18:00,Spezia,,,,Milan,,Stadio Alberto Picco,,Head-to-Head,
13,377,377,35.0,Sat,2023-05-13,20:45,Inter,,,,Sassuolo,,Stadio Giuseppe Meazza,,Head-to-Head,
14,378,378,35.0,Sun,2023-05-14,12:30,Verona,,,,Torino,,Stadio Marc'Antonio Bentegodi,,Head-to-Head,
15,379,379,35.0,Sun,2023-05-14,15:00,Fiorentina,,,,Udinese,,Stadio Artemio Franchi,,Head-to-Head,
16,380,380,35.0,Sun,2023-05-14,15:00,Monza,,,,Napoli,,U-Power Stadium,,Head-to-Head,
17,381,381,35.0,Sun,2023-05-14,18:00,Bologna,,,,Roma,,Stadio Renato Dall'Ara,,Head-to-Head,
18,382,382,35.0,Sun,2023-05-14,20:45,Juventus,,,,Cremonese,,Allianz Stadium,,Head-to-Head,
19,383,383,35.0,Mon,2023-05-15,20:45,Sampdoria,,,,Empoli,,Stadio Comunale Luigi Ferraris,,Head-to-Head,
20,385,385,36.0,Fri,2023-05-19,20:45,Sassuolo,,,,Monza,,Mapei Stadium - Città del Tricolore,,Head-to-Head,
21,386,386,36.0,Sat,2023-05-20,15:00,Cremonese,,,,Bologna,,Stadio Giovanni Zini,,Head-to-Head,
22,387,387,36.0,Sat,2023-05-20,18:00,Atalanta,,,,Verona,,Gewiss Stadium,,Head-to-Head,
23,388,388,36.0,Sat,2023-05-20,20:45,Milan,,,,Sampdoria,,Stadio Giuseppe Meazza,,Head-to-Head,
24,389,389,36.0,Sun,2023-05-21,12:30,Lecce,,,,Spezia,,Stadio Comunale Via Del Mare,,Head-to-Head,
25,390,390,36.0,Sun,2023-05-21,15:00,Torino,,,,Fiorentina,,Stadio Olimpico di Torino,,Head-to-Head,
26,391,391,36.0,Sun,2023-05-21,18:00,Napoli,,,,Inter,,Stadio Diego Armando Maradona,,Head-to-Head,
27,392,392,36.0,Sun,2023-05-21,20:45,Udinese,,,,Lazio,,Dacia Arena,,Head-to-Head,
28,393,393,36.0,Mon,2023-05-22,18:30,Roma,,,,Salernitana,,Stadio Olimpico,,Head-to-Head,
29,394,394,36.0,Mon,2023-05-22,20:45,Empoli,,,,Juventus,,Stadio Carlo Castellani,,Head-to-Head,
30,396,396,37.0,Sun,2023-05-28,,Bologna,,,,Napoli,,,,Head-to-Head,
31,397,397,37.0,Sun,2023-05-28,,Juventus,,,,Milan,,,,Head-to-Head,
32,398,398,37.0,Sun,2023-05-28,,Lazio,,,,Cremonese,,,,Head-to-Head,
33,399,399,37.0,Sun,2023-05-28,,Inter,,,,Atalanta,,,,Head-to-Head,
34,400,400,37.0,Sun,2023-05-28,,Spezia,,,,Torino,,,,Head-to-Head,
35,401,401,37.0,Sun,2023-05-28,,Verona,,,,Empoli,,,,Head-to-Head,
36,402,402,37.0,Sun,2023-05-28,,Monza,,,,Lecce,,,,Head-to-Head,
37,403,403,37.0,Sun,2023-05-28,,Salernitana,,,,Udinese,,,,Head-to-Head,
38,404,404,37.0,Sun,2023-05-28,,Fiorentina,,,,Roma,,,,Head-to-Head,
39,405,405,37.0,Sun,2023-05-28,,Sampdoria,,,,Sassuolo,,,,Head-to-Head,
40,407,407,38.0,Sun,2023-06-04,,Atalanta,,,,Monza,,,,Head-to-Head,
41,408,408,38.0,Sun,2023-06-04,,Milan,,,,Verona,,,,Head-to-Head,
42,409,409,38.0,Sun,2023-06-04,,Torino,,,,Inter,,,,Head-to-Head,
43,410,410,38.0,Sun,2023-06-04,,Cremonese,,,,Salernitana,,,,Head-to-Head,
44,411,411,38.0,Sun,2023-06-04,,Udinese,,,,Juventus,,,,Head-to-Head,
45,412,412,38.0,Sun,2023-06-04,,Lecce,,,,Bologna,,,,Head-to-Head,
46,413,413,38.0,Sun,2023-06-04,,Sassuolo,,,,Fiorentina,,,,Head-to-Head,
47,414,414,38.0,Sun,2023-06-04,,Roma,,,,Spezia,,,,Head-to-Head,
48,415,415,38.0,Sun,2023-06-04,,Napoli,,,,Sampdoria,,,,Head-to-Head,
49,416,416,38.0,Sun,2023-06-04,,Empoli,,,,Lazio,,,,Head-to-Head,
