,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,team,logo
0,0,0,0,Man City,https://cdn.ssref.net/req/202303071/tlogo/fb/b8fd03ef.png
1,1,1,1,Arsenal,https://cdn.ssref.net/req/202303071/tlogo/fb/18bb7c10.png
2,2,2,2,Newcastle,https://cdn.ssref.net/req/202303071/tlogo/fb/b2b47a98.png
3,3,3,3,Man United,https://cdn.ssref.net/req/202303071/tlogo/fb/19538871.png
4,4,4,4,Liverpool,https://cdn.ssref.net/req/202303071/tlogo/fb/822bd0ba.png
5,5,5,5,Brighton,https://cdn.ssref.net/req/202303071/tlogo/fb/d07537b9.png
6,6,6,6,Tottenham,https://cdn.ssref.net/req/202303071/tlogo/fb/361ca564.png
7,7,7,7,Aston Villa,https://cdn.ssref.net/req/202303071/tlogo/fb/8602292d.png
8,8,8,8,Brentford,https://cdn.ssref.net/req/202303071/tlogo/fb/cd051869.png
9,9,9,9,Fulham,https://cdn.ssref.net/req/202303071/tlogo/fb/fd962109.png
10,10,10,10,Crystal Palace,https://cdn.ssref.net/req/202303071/tlogo/fb/47c64c55.png
11,11,11,11,Chelsea,https://cdn.ssref.net/req/202303071/tlogo/fb/cff3d9bb.png
12,12,12,12,Bournemouth,https://cdn.ssref.net/req/202303071/tlogo/fb/4ba7cbea.png
13,13,13,13,Wolves,https://cdn.ssref.net/req/202303071/tlogo/fb/8cec06e1.png
14,14,14,14,West Ham,https://cdn.ssref.net/req/202303071/tlogo/fb/7c21e445.png
15,15,15,15,Leicester,https://cdn.ssref.net/req/202303071/tlogo/fb/a2d435b3.png
16,16,16,16,Leeds,https://cdn.ssref.net/req/202303071/tlogo/fb/5bfb9659.png
17,17,17,17,Nott'm Forest,https://cdn.ssref.net/req/202303071/tlogo/fb/e4a775cb.png
18,18,18,18,Everton,https://cdn.ssref.net/req/202303071/tlogo/fb/d3fd31cc.png
19,19,19,19,Southampton,https://cdn.ssref.net/req/202303071/tlogo/fb/33c895d4.png
