,Unnamed: 0,team,logo
0,0,Bayern Munich,https://cdn.ssref.net/req/202303071/tlogo/fb/054efa67.png
1,1,Dortmund,https://cdn.ssref.net/req/202303071/tlogo/fb/add600ae.png
2,2,Union Berlin,https://cdn.ssref.net/req/202303071/tlogo/fb/7a41008f.png
3,3,Freiburg,https://cdn.ssref.net/req/202303071/tlogo/fb/a486e511.png
4,4,RB Leipzig,https://cdn.ssref.net/req/202303071/tlogo/fb/acbb6a5b.png
5,5,Leverkusen,https://cdn.ssref.net/req/202303071/tlogo/fb/c7a9f859.png
6,6,Wolfsburg,https://cdn.ssref.net/req/202303071/tlogo/fb/4eaa11d7.png
7,7,Mainz,https://cdn.ssref.net/req/202303071/tlogo/fb/a224b06a.png
8,8,Ein Frankfurt,https://cdn.ssref.net/req/202303071/tlogo/fb/f0ac8ee6.png
9,9,M'gladbach,https://cdn.ssref.net/req/202303071/tlogo/fb/32f3ee20.png
10,10,FC Koln,https://cdn.ssref.net/req/202303071/tlogo/fb/bc357bf7.png
11,11,Werder Bremen,https://cdn.ssref.net/req/202303071/tlogo/fb/62add3bf.png
12,12,Augsburg,https://cdn.ssref.net/req/202303071/tlogo/fb/0cdc4311.png
13,13,Hoffenheim,https://cdn.ssref.net/req/202303071/tlogo/fb/033ea6b8.png
14,14,Stuttgart,https://cdn.ssref.net/req/202303071/tlogo/fb/598bc722.png
15,15,Bochum,https://cdn.ssref.net/req/202303071/tlogo/fb/b42c6323.png
16,16,Schalke 04,https://cdn.ssref.net/req/202303071/tlogo/fb/c539e393.png
17,17,Hertha,https://cdn.ssref.net/req/202303071/tlogo/fb/2818f8bc.png
