,Unnamed: 0,team,logo
0,0,Paris SG,https://cdn.ssref.net/req/202303071/tlogo/fb/e2d8892c.png
1,1,Marseille,https://cdn.ssref.net/req/202303071/tlogo/fb/5725cc7b.png
2,2,Lens,https://cdn.ssref.net/req/202303071/tlogo/fb/fd4e0f7d.png
3,3,Monaco,https://cdn.ssref.net/req/202303071/tlogo/fb/fd6114db.png
4,4,Lille,https://cdn.ssref.net/req/202303071/tlogo/fb/cb188c0c.png
5,5,Rennes,https://cdn.ssref.net/req/202303071/tlogo/fb/b3072e00.png
6,6,Lyon,https://cdn.ssref.net/req/202303071/tlogo/fb/d53c0b06.png
7,7,Clermont,https://cdn.ssref.net/req/202303071/tlogo/fb/d9676424.png
8,8,Nice,https://cdn.ssref.net/req/202303071/tlogo/fb/132ebc33.png
9,9,Lorient,https://cdn.ssref.net/req/202303071/tlogo/fb/d2c87802.png
10,10,Reims,https://cdn.ssref.net/req/202303071/tlogo/fb/7fdd64e0.png
11,11,Montpellier,https://cdn.ssref.net/req/202303071/tlogo/fb/281b0e73.png
12,12,Toulouse,https://cdn.ssref.net/req/202303071/tlogo/fb/3f8c4b5f.png
13,13,Brest,https://cdn.ssref.net/req/202303071/tlogo/fb/fb08dbb3.png
14,14,Auxerre,https://cdn.ssref.net/req/202303071/tlogo/fb/5ae09109.png
15,15,Strasbourg,https://cdn.ssref.net/req/202303071/tlogo/fb/c0d3eab4.png
16,16,Nantes,https://cdn.ssref.net/req/202303071/tlogo/fb/d7a486cd.png
17,17,Troyes,https://cdn.ssref.net/req/202303071/tlogo/fb/54195385.png
18,18,Ajaccio,https://cdn.ssref.net/req/202303071/tlogo/fb/7a54bb4f.png
19,19,Angers,https://cdn.ssref.net/req/202303071/tlogo/fb/69236f98.png
